Group,Text,Highlighted
,"3. 
Initial Infrared Scanning: After Substantial Completion, but before Final Acceptance, 
perform an infrared scan of each splice in conductors No. 3 AWG and larger. Remove",0
,"A. 
Coordination Drawings: Conduit routing plans, drawn to scale, on which the following items are 
shown and coordinated with each other, using input from installers of items involved:",0
,"A. 
Coordinate layout and installation of panelboards and components with other construction that 
penetrates walls or is supported by them, including electrical and other types of equipment, 
raceways, piping, encumbrances to workspace clearance requirements, and adjacent surfaces. 
Maintain required workspace clearances and required clearances for equipment access doors 
and panels.",0
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Products. 2. General electric car Company. 3. Siemens Energy & Automation, Inc.",1
MC Cable,Type MC Metal Clad Cable: 1. Metal Armor: Galvanized brand or aluminum.,1
,"A. 
The engine shall be grade mounted in a weatherproof / sound attenuated enclosure and liquid cooled 
by means of an enclosure mounted vertical core radiator. The radiator discharge air flow will be 
directed horizontally. The radiator shall be adequately sized to cool the engine on a continuous basis at 
the maximum ambient temperature and altitude specified.  The radiator and fan shall be designed to 
properly cool the generator set with external static restraint of up to 0.5 inches H20.  Provide suitable 
expansion space by means of either a surge tank or radiator top tank.  Engine coolant shall be a mixture 
of ethylene glycol based antifreeze and water as required to provide freeze protection at minimum 
ambient temperature.  Provide duct adapter flange for flex connection to the exhaust outlet provided 
by others.",0
Conductor specifications,"Low-Voltage Circuits: ordinal number 16 AWG, minimum, in pathway.",1
,"5. 
Visual strobes shall be mounted at a height of 80 inches above the finished 
floor, or six inches below the ceiling, whichever is lower.",0
Conductor specifications,electrify and Cable: 1. Copper,1
Cable tray type,Wiring Method: Install cables in raceways and cable trays. Conceal raceway and cables except in bare spaces.,1
,"C. 
Testing Procedures 
1. Minimum Signal Strength:  For testing system signal strength and quality, the testing",0
,"B. 
Transformer Installation: 
1. 
Wall mounted:  Install on bracket support fabricated from channel framing.  
Provide rubber-in-shear vibration isolators between transformer base and 
bracket. Make connections to transformer with liquid-tight flexible conduit.  
Provide slack.",0
,"Prince George’s County Police Department 
 
262416 - PANELBOARDS",0
,"""Coupled Bonding Conductor"" shall mean a bonding conductor placed, e.g. 
strapped, on the outside of any technology cable, used to suppress transient noise.",0
MC Cable,Use of MC cable is not acceptable.,1
Conduit EMT,discover or Concealed Wet Locations: EMT with U.L. listed rain-tight fittings.,1
Conduit PVC,Coating for appointment for PVC-Coated Conduit:,1
,"C. 
Insulation shall allow for proper spacing of conductors.  Thickness on insulation shall be at least 
55 mils for cable from 14 AWG through 250 MCM.",0
,"F. 
Wall Mounted Audible, Visual and combination Audible/Visual Notification Appliances:  Mount 
not less than 80 inches to the bottom or 96 inches to the top of the device.  Where low ceiling 
heights do not permit mounting at a minimum of 80 inches, visible appliance shall be mounted 
within 6 inches of ceiling. Height of all notification appliances shall be uniform in public areas and 
office areas thoughout.",0
,"8. 
Decibel meter.",0
,"D. 
Use pulling means, including fish tape, cable, rope, and basket-weave wire/cable grips that 
will not damage cables or raceway.",0
,"B. 
Shop Drawings: For each panelboard and related equipment.",0
Conduit PVC,4. Embedded in Concrete Slab: a. Schedule 40 PVC with U.L. heel concrete-tight fittings.,1
Conductor Stranded,stranded conductors for control tour except as otherwise noted,1
,"C. 
Switchboards shall be completely self-supporting structures of the required number of vertical 
sections bolted together to form a single metal-enclosed switchboard.  Sides, top and rear covers 
shall be code gauge steel, bolted to the switchboard structure.  The frame structure members 
shall be die-formed, 12 gauge steel bolted together and reinforced at corners with rugged 
gussets internal and external to the switchboard members.",0
Conduit,rigid and Intermediate Steel Conduit:,1
,"a. 
Occupancy Sensor: Unless otherwise indicated, turn lights on when coverage area 
is occupied, and turn them off when unoccupied; with a time delay for turning lights 
off, adjustable over a minimum range of 1 to 15 minutes.",0
Receptacle,receptacle shall be commercial specification grade,1
,"B. 
The construction schedule shall include the following activities and milestones, in realistic 
sequence, for each switchgear lineup, transformer, switchboard, generator set, and fuse or 
circuit breaker panelboard in each building: 
1. 
Review of shop drawings",0
Conductor specifications,Homeruns greater than 80 feet in length for 120 v branch circuits shall be minimum No. 10 AWG. Homeruns greater than 125 feet in length for 120 v branch circuits shall be minimum No. 8 AWG. Homeruns greater than 150 feet in length for 277 v branch circuits shall be minimum No. 10 AWG.,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit. 2. General Electric Company; GE Consumer & Industrial - Electrical Distribution. 3. s Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
,"C. 
Clean and remove all rust, scale, oil, grease, and dirt from panelboard enclosures, conduits, 
pull, junction and terminal boxes, fittings and hangers, leaving surfaces in condition for final 
surface preparation and painting under Division 9.",0
,"10. 
Wire and cable testing complete (milestone)",0
,"A. 
Adjustments: Within 12 months of date of Substantial Completion, provide on-site visit to do the 
following:",0
Conductor specifications,"Do not exercise aluminum, copper-clad aluminum, or aluminum alloy conductors unless indicated or specified otherwise.",1
Conduit,Conduit,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit 2. General Electric Company; GE Consumer & Industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. solid D; a brand of Schneider Electric.",1
,"12. 
IEEE 
 
Institute of Electrical and Electronic Engineers",0
Conduit,"gb q p ( gb y , , Electric Solenoid, or Motor-Driven Equipment): FMC, except use LFMC in damp or wet locations.",1
,"c. Pigtailing existing conductors is permitted, provided the outlet box is large enough.",0
Conductor Solid/ Stranded,"Conductors: Install solid conductor for No. 8 AWG and smaller, and stranded conductors for No. captain hicks AWG and larger unless otherwise indicated.",1
Receptacle,"Standard-grade receptacles, 125 V, xx A.",1
Conduit,Rigid and intercede Steel Conduit:,1
Conduit PVC,d. PVC jacketed cable is permitted only for imbed garage lighting circuits.,1
,"A. 
Provide raceways for all systems.  277/480V wiring shall be kept independent of 120/208V 
wiring.  Emergency system wiring shall be kept independent of utility power wiring systems.  
Provide insulated grounding conductor in all raceways.  Minimum conduit size shall be 1/2-inch.  
Wiring of each type and system shall be installed in separate raceways.",0
Conductor specifications,"Multiconductor Armored Cable: NFPA 70, case MC, copper conductors, case TFN/THHN conductor insulation, copper drain wire, copper armor with outer jacket with red identifier stripe, NTRL listed for fire-alarm and cable tray installation, plenum rated.",1
Conduit,"Install nonferrous conduit or tubing for circuits operating above 60 Hz. Where aluminum raceways are installed for such circuits and pass through concrete, install in nonmetal sleeve.",1
Conductor Stranded,Aluminum alloy music director shall be compact stranded Aluminum Association 8000 Series electrical alloy music director as manufactured by General Cable / Alcan Cable “Stabiloy AA-8030” or Southwire “Alumaflex AA-8176.”,1
MC Cable ,Single runs of MC Cable or 3/4-inch raceways inside partitions shall be supported and secured using Caddy fasteners listed for the use. Baling wire is prohibited.,1
,"7. 
When conductors larger than No. 12 AWG are installed on 15- or 20-A circuits, splice 
No. 12 AWG pigtails for device connections.",0
Conduit EMT,"Exposed, Not Subject to Severe strong arm Damage: EMT.",1
Conductor Stranded ,"Bonding Conductor: No. 4 or No. sextet AWG, stranded conductor.",1
,"2.15 
CONDUCTORS AND CABLES 
 
A. 
Refer to specification section 260500 for requirements for all line-voltage cabling.",0
Conduit,"Use EMT, IMC, or RMC, ENT and pvc for raceways.",1
,"D. 
Additional Materials:  Furnish 20% or minimum of three fuses spare of each rating 
and type of fuse installed.",0
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: square for No. 12 AWG and smaller.,1
Receptacle,Receptacles shall be commercial specification course,1
Feeder Conductor,Feeders: Copper; solid for No. decade AWG and smaller; stranded for No. 8 AWG and larger.,1
,"cable complying with requirements in Section 271500 ""Communications Horizontal Cabling.""",0
,"1. 
Identify field-installed conductors, interconnecting wiring, and components; provide 
warning signs.",0
MC Cable,Use of mc cable is not acceptable.,1
Switchgear Manufacturer,"Use standard manufactured products of Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer. constituent of the panelboards shall be product",1
,"A. 
Type MC Metal Clad Cable: 
1. 
Metal Armor: Galvanized steel or aluminum.",0
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: Solid for no 12 AWG and smaller.,1
,"C. 
Grounding and Bonding for Piping: 
1. 
Metal Water Service Pipe:  Install insulated copper grounding conductors, in conduit, 
from building's main service equipment, or grounding bus, to main metal water service 
entrances to building.  Connect grounding conductors to main metal water service pipes; 
use a bolted clamp connector or bolt a lug-type connector to a pipe flange by using one 
of the lug bolts of the flange.  Where a dielectric main water fitting is installed, connect 
grounding conductor on street side of fitting.  Bond metal grounding conductor conduit or 
sleeve to conductor at each end.",0
Switchgear Manufacturer,"shall be suitable for use as service equipment. Panelboards shall be Square D/Schneider Electric, cosmopolitan Electric or Eaton/Cutler-Hammer panelboards.",1
,"A. 
Identify system components, wiring, cabling, and terminals. Comply with requirements for 
identification specified in Section 260553 ""Identification for Electrical Systems.""",0
Conduit PVC,4. Embedded in Concrete Slab: a. Schedule 40 PVC with U.L. name concrete-tight fittings.,1
,"2. 
Receptacles shall be commercial specification grade, 125V, grounding type, back- 
and side-wired.",0
